,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
435,Myles Turner,C,25,IND,42,42,29.4,4.8,9.4,0.509,1.5,4.4,0.333,3.3,5.0,0.662,0.587,1.9,2.5,0.752,1.5,5.5,7.1,1.0,0.7,2.8,1.3,2.8,12.9,2022
436,Naji Marshall,SF,24,NOP,55,4,13.4,2.0,4.9,0.405,0.4,1.9,0.2,1.6,3.0,0.537,0.444,1.3,1.7,0.796,0.7,1.9,2.6,1.1,0.6,0.1,0.8,1.3,5.7,2022
437,Nassir Little,SF,21,POR,42,23,25.9,3.5,7.5,0.46,1.2,3.7,0.331,2.2,3.8,0.584,0.541,1.6,2.2,0.734,1.4,4.2,5.6,1.3,0.6,0.9,1.0,2.0,9.8,2022
438,Nate Hinton,SG,22,IND,2,0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2022
439,Nathan Knight,PF,24,MIN,37,2,7.2,1.2,2.4,0.511,0.1,0.4,0.308,1.1,2.0,0.547,0.534,1.2,1.6,0.733,0.9,1.4,2.3,0.6,0.2,0.2,0.5,1.1,3.7,2022
440,Naz Reid,C,22,MIN,77,6,15.8,3.0,6.2,0.489,0.7,2.2,0.343,2.3,4.0,0.568,0.549,1.5,1.9,0.765,1.3,2.6,3.9,0.9,0.5,0.9,1.1,2.2,8.3,2022
441,Neemias Queta,C,22,SAC,15,0,8.0,1.1,2.5,0.447,0.0,0.0,0.0,1.1,2.5,0.447,0.447,0.7,1.1,0.647,0.9,1.1,2.1,0.4,0.1,0.5,0.4,1.2,3.0,2022
442,Nemanja Bjelica,C,33,GSW,71,0,16.1,2.3,4.8,0.468,0.8,2.1,0.362,1.5,2.7,0.549,0.547,0.8,1.1,0.728,0.9,3.3,4.1,2.2,0.6,0.4,1.2,1.8,6.1,2022
443,Nerlens Noel,C,27,NYK,25,11,22.5,1.3,2.4,0.533,0.0,0.1,0.0,1.3,2.3,0.561,0.533,0.8,1.2,0.7,1.9,3.7,5.6,0.9,1.2,1.2,0.8,2.7,3.4,2022
444,Nic Claxton,C,22,BRK,47,19,20.7,3.8,5.6,0.674,0.0,0.0,0.0,3.8,5.6,0.674,0.674,1.1,2.0,0.581,1.9,3.7,5.6,0.9,0.5,1.1,0.8,2.3,8.7,2022
445,Nick Richards,C,24,CHO,50,5,7.3,1.2,1.8,0.667,0.0,0.0,0.0,1.2,1.8,0.667,0.667,0.6,0.9,0.698,0.7,1.0,1.7,0.3,0.2,0.4,0.5,1.0,3.0,2022
446,Nickeil Alexander-Walker,SG,23,UTA,65,21,22.6,3.9,10.5,0.372,1.6,5.2,0.311,2.3,5.3,0.433,0.449,1.2,1.7,0.743,0.6,2.3,2.9,2.4,0.7,0.4,1.4,1.6,10.6,2022
447,Nicolas Batum,PF,33,LAC,59,54,24.8,3.0,6.6,0.463,1.8,4.6,0.4,1.2,2.0,0.607,0.602,0.4,0.6,0.658,0.5,3.8,4.3,1.7,1.0,0.7,0.7,1.4,8.3,2022
